name;year;certificate;runtime;genre;rating;metascore;text-muted;director;stars
Ruang rak noi nid mahasan;2003;R;112;['Comedy', 'Drama', 'Romance'];7.5;73;A suicidal, obsessively compulsive Japanese librarian is forced to lie low in Thailand with a pot-smoking woman coping with the recent loss of her sister.;['Pen-Ek Ratanaruang'];['Tadanobu Asano', 'Sinitta Boonyasak', 'Takashi Miike', 'Laila Boonyasak']
Les invasions barbares;2003;Tous publics;99;['Comedy', 'Crime', 'Drama'];7.5;70;During his final days, a dying man is reunited with old friends, former lovers, his ex-wife, and his estranged son.;['Denys Arcand'];['Rémy Girard', 'Dorothée Berryman', 'Stéphane Rousseau', 'Marie-Josée Croze']
La vie est un miracle!;2004;Pas disponible;155;['Comedy', 'Romance', 'Music'];7.5;0;What could be better for the village than a scenic railway to bring in the tourists? What could be worse for tourism than war? Luka builds the railway and shuts his eyes to war. Then Luka's wife runs off with a musician and his son is called up to the army. Luka's life is a war zone. Then he meets Sabaha..;['Emir Kusturica'];['Slavko Stimac', 'Natasa Tapuskovic', 'Vesna Trivalic', 'Vuk Kostic']
The Hours;2002;Tous publics;110;['Drama', 'Romance'];7.5;80;"The story of how the novel ""Mrs. Dalloway"" affects three generations of women, all of whom, in one way or another, have had to deal with suicide in their lives.";['Stephen Daldry'];['Meryl Streep', 'Nicole Kidman', 'Julianne Moore', 'Stephen Dillane']
Boys Don't Cry;1999;16;118;['Biography', 'Crime', 'Drama'];7.5;86;A young man named Brandon Teena navigates love, life, and being transgender in rural Nebraska.;['Kimberly Peirce'];['Hilary Swank', 'Chloë Sevigny', 'Peter Sarsgaard', 'Brendan Sexton III']
Comme un garcon;1998;Tous publics;108;['Comedy', 'Drama', 'Romance'];7.5;0;A tenderly romantic coming-of-age story as two boys in a British school fall in love.;['Simon Shore'];['Ben Silverstone', 'Brad Gorton', 'Charlotte Brittain', 'Stacy Hart']
Sunshine;1999;Tous publics;181;['Drama', 'History', 'Romance'];7.5;71;The fate of a Hungarian Jewish family throughout the 20th century.;['István Szabó'];['Ralph Fiennes', 'Rosemary Harris', 'Rachel Weisz', 'Jennifer Ehle']
Leaving Las Vegas;1995;12;111;['Drama', 'Romance'];7.5;82;Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.;['Mike Figgis'];['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands', 'Richard Lewis']
La lecon de piano;1993;Tous publics;121;['Drama', 'Music', 'Romance'];7.5;89;In the mid-19th century a mute woman is sent to New Zealand along with her young daughter and prized piano for an arranged marriage to a farmer, but is soon lusted after by a farm worker.;['Jane Campion'];['Holly Hunter', 'Harvey Keitel', 'Sam Neill', 'Anna Paquin']
Maris et femmes;1992;Tous publics;108;['Comedy', 'Drama', 'Romance'];7.5;84;When their best friends announce that they're separating, a professor and his wife discover the faults in their own marriage.;['Woody Allen'];['Woody Allen', 'Mia Farrow', 'Sydney Pollack', 'Judy Davis']
Nos annees sauvages;1990;Tous publics;100;['Crime', 'Drama', 'Romance'];7.5;93;A man tries to find out who his real mother is after the woman who raised him tells him the truth.;['Kar-Wai Wong'];['Leslie Cheung', 'Maggie Cheung', 'Andy Lau', 'Carina Lau']
Le choix de Sophie;1982;Tous publics;150;['Drama', 'Romance'];7.5;68;Sophie is the survivor of Nazi concentration camps, who has found a reason to live with Nathan, a sparkling if unsteady American Jew obsessed with the Holocaust.;['Alan J. Pakula'];['Meryl Streep', 'Kevin Kline', 'Peter MacNicol', 'Rita Karin']
Hair;1979;Tous publics;121;['Comedy', 'Drama', 'Musical'];7.5;68;Claude Bukowski leaves the family ranch in Oklahoma for New York where he is rapidly embraced into the hippie group of youngsters led by Berger, yet he's already been drafted. He soon falls in love with Sheila Franklin, a rich girl but still a rebel inside.;['Milos Forman'];['John Savage', 'Treat Williams', 'Beverly DAngelo', 'Annie Golden']
Robin des Bois;1973;Tous publics;83;['Animation', 'Adventure', 'Comedy'];7.5;57;The story of the legendary British outlaw is portrayed with the characters as humanoid animals.;[' Wolfgang Reitherman', 'David Hand'];['Brian Bedford', 'Phil Harris', 'Roger Miller', 'Peter Ustinov']
Un homme et une femme;1966;Tous publics;102;['Drama', 'Romance'];7.5;0;A widow and a widower find their relationship developing into love, but their past tragedies prove hard to overcome, causing them to proceed with utmost delicacy.;['Claude Lelouch'];['Anouk Aimée', 'Jean-Louis Trintignant', 'Pierre Barouh', 'Valérie Lagrange']
Comment voler un million de dollars;1966;Tous publics;123;['Comedy', 'Crime', 'Romance'];7.5;0;The daughter of an art forger teams up with a burglar to steal one of her father's forgeries and protect his secret.;['William Wyler'];['Audrey Hepburn', 'Peter OToole', 'Eli Wallach', 'Hugh Griffith']
Pierrot le fou;1965;Tous publics;110;['Crime', 'Drama', 'Romance'];7.5;0;Pierrot escapes his boring society and travels from Paris to the Mediterranean Sea with Marianne, a girl chased by hit-men from Algeria. They lead an unorthodox life, always on the run.;['Jean-Luc Godard'];['Jean-Paul Belmondo', 'Anna Karina', 'Graziella Galvani', 'Aicha Abadir']
Le mepris;1963;Tous publics;103;['Drama', 'Romance'];7.5;0;Screenwriter Paul Javal's marriage to his wife Camille disintegrates during movie production as she spends time with the producer. Layered conflicts between art and business ensue.;['Jean-Luc Godard'];['Brigitte Bardot', 'Jack Palance', 'Michel Piccoli', 'Giorgia Moll']
Lolita;1962;Tous publics;153;['Crime', 'Drama', 'Romance'];7.5;79;A middle-aged college professor becomes infatuated with a fourteen-year-old nymphet.;['Stanley Kubrick'];['James Mason', 'Shelley Winters', 'Sue Lyon', 'Gary Cockrell']
